signal,n_cells,n_pos_A,n_pos_B,n_pos_F,kappa_AB,po_AB,kappa_AF,po_AF,kappa_BF,po_BF,kappa_mean,kappa_min,fleiss_kappa,conv_kappa_mean,masked_kappa_mean,masked_n_cells
adaptation,441,10,10,11,0.693,0.986,0.561,0.98,0.854,0.993,0.703,0.561,0.703,1.0,0.697,257
ai_acknowledges_correction,441,18,13,14,0.633,0.975,0.546,0.968,0.885,0.993,0.688,0.546,0.678,0.867,0.694,208
ai_asked_clarifying_question,441,8,3,8,0.541,0.989,0.873,0.995,0.541,0.989,0.652,0.541,0.68,0.688,0.646,177
ai_asked_probing_question,441,44,51,46,0.847,0.971,0.777,0.959,0.919,0.984,0.848,0.777,0.849,1.0,0.815,177
ai_asks_followup,441,8,36,35,0.297,0.932,0.305,0.934,0.77,0.966,0.458,0.297,0.502,0.867,0.436,177
ai_asserts_knowledge_limit,441,12,15,16,0.58,0.975,0.558,0.973,0.9,0.993,0.679,0.558,0.688,0.738,0.686,208
ai_cites_source,441,11,6,7,0.581,0.984,0.433,0.977,0.766,0.993,0.593,0.433,0.576,0.855,0.628,184
ai_flags_complexity,441,4,3,3,0.856,0.998,0.856,0.998,1.0,1.0,0.904,0.856,0.899,1.0,0.903,177
ai_hedges_uncertainty,441,21,15,17,0.421,0.955,0.45,0.955,0.741,0.982,0.537,0.421,0.528,0.316,0.529,208
ai_malfunction,441,1,4,9,0.398,0.993,0.197,0.982,0.61,0.989,0.402,0.197,0.422,0.482,0.424,233
ai_missing_retrieval,441,1,2,1,-0.003,0.993,-0.002,0.995,0.666,0.998,0.22,-0.003,0.248,0.117,0.218,226
ai_normalizes_difficulty,441,4,6,6,0.798,0.995,0.596,0.991,0.831,0.995,0.741,0.596,0.747,1.0,0.737,177
ai_offered_options,441,22,5,11,0.283,0.957,0.53,0.966,0.492,0.982,0.435,0.283,0.431,0.825,0.416,177
ai_offers_to_elaborate,441,11,3,5,0.134,0.973,0.365,0.977,0.748,0.995,0.416,0.134,0.359,0.513,0.405,177
ai_provides_alternatives,441,2,5,8,0.281,0.989,0.194,0.982,0.766,0.993,0.414,0.194,0.461,0.489,0.407,177
ai_provides_caveats,441,5,4,5,0.439,0.989,0.393,0.986,0.888,0.998,0.573,0.393,0.567,0.716,0.566,177
ai_provides_example,441,6,7,12,0.141,0.975,0.208,0.968,0.731,0.989,0.36,0.141,0.388,0.469,0.364,177
ai_provides_step_by_step,441,5,10,8,0.255,0.975,0.142,0.975,0.887,0.995,0.428,0.142,0.469,0.744,0.415,177
ai_references_prior_turn,441,6,18,20,0.319,0.964,0.293,0.959,0.89,0.991,0.501,0.293,0.553,0.358,0.483,177
ai_refuses_or_declines,441,3,2,1,0.397,0.993,-0.003,0.991,0.666,0.998,0.353,-0.003,0.33,0.279,0.349,177
ai_structured_response,441,4,2,7,-0.006,0.986,0.356,0.984,0.217,0.984,0.189,-0.006,0.223,0.404,0.179,177
ai_validates_user,441,65,37,44,0.627,0.923,0.594,0.912,0.878,0.98,0.699,0.594,0.684,0.867,0.631,177
ai_warns_user,441,1,4,4,-0.004,0.989,-0.004,0.989,1.0,1.0,0.331,-0.004,0.441,0.524,0.327,177
appropriate_confidence,441,1,1,8,-0.002,0.995,-0.004,0.98,0.219,0.984,0.071,-0.004,0.093,0.041,0.076,177
conversation_advanced,441,134,21,19,0.121,0.717,0.145,0.726,0.529,0.959,0.265,0.121,0.126,0.091,0.168,177
