signal,n_cells,n_pos_A,n_pos_B,n_pos_F,kappa_AB,po_AB,kappa_AF,po_AF,kappa_BF,po_BF,kappa_mean,kappa_min,fleiss_kappa,conv_kappa_mean,masked_kappa_mean,masked_n_cells
adaptation,441,10,10,11,0.693,0.986,0.561,0.98,0.854,0.993,0.703,0.561,0.703,1.0,0.698,264
ai_acknowledges_correction,441,18,19,20,0.859,0.989,0.78,0.982,0.92,0.993,0.853,0.78,0.853,1.0,0.877,177
ai_asked_clarifying_question,441,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,177
ai_asked_probing_question,441,44,51,46,0.847,0.971,0.777,0.959,0.919,0.984,0.848,0.777,0.849,1.0,0.815,177
ai_asks_followup,441,8,35,34,0.305,0.934,0.313,0.937,0.796,0.971,0.471,0.305,0.517,1.0,0.452,177
ai_asserts_knowledge_limit,441,15,15,16,0.724,0.982,0.699,0.98,0.967,0.998,0.797,0.699,0.797,1.0,0.792,264
ai_cites_source,441,10,6,7,0.619,0.986,0.461,0.98,0.766,0.993,0.615,0.461,0.602,1.0,0.655,184
ai_flags_complexity,441,4,3,3,0.856,0.998,0.856,0.998,1.0,1.0,0.904,0.856,0.899,1.0,0.903,177
ai_hedges_uncertainty,441,25,17,17,0.601,0.964,0.601,0.964,0.816,0.986,0.673,0.601,0.663,0.855,0.662,264
ai_malfunction,441,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,264
ai_missing_retrieval,441,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,226
ai_normalizes_difficulty,441,4,6,6,0.798,0.995,0.596,0.991,0.831,0.995,0.741,0.596,0.747,1.0,0.737,177
ai_offered_options,441,22,10,10,0.548,0.968,0.548,0.968,0.898,0.995,0.665,0.548,0.631,1.0,0.648,177
ai_offers_to_elaborate,441,12,6,5,0.547,0.982,0.582,0.984,0.908,0.998,0.679,0.547,0.646,0.855,0.671,177
ai_provides_alternatives,441,4,5,6,0.663,0.993,0.596,0.991,0.908,0.998,0.722,0.596,0.73,0.825,0.718,177
ai_provides_caveats,441,4,5,5,0.663,0.993,0.663,0.993,1.0,1.0,0.776,0.663,0.783,1.0,0.774,264
ai_provides_example,441,8,7,9,0.525,0.984,0.46,0.98,0.873,0.995,0.619,0.46,0.618,0.867,0.662,177
ai_provides_step_by_step,441,5,13,11,0.548,0.982,0.492,0.982,0.914,0.995,0.652,0.492,0.683,1.0,0.642,177
ai_references_prior_turn,441,11,20,19,0.7,0.98,0.656,0.977,0.973,0.998,0.776,0.656,0.792,0.594,0.765,177
ai_refuses_or_declines,441,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,177
ai_structured_response,441,7,7,6,0.71,0.991,0.766,0.993,0.922,0.998,0.799,0.71,0.797,1.0,0.794,177
ai_validates_user,441,66,38,44,0.633,0.923,0.608,0.914,0.892,0.982,0.711,0.608,0.696,1.0,0.644,177
